,nW,n,utm48_x,utm48_y,x,y,z,lat,lon,zabs
223,223,223,397514.04099392577,5938034.185215421,-359.427,134.936,-2.276,53.58113302756758,103.45195407045675,467.724
224,224,224,397509.0449939258,5938034.066215421,-364.423,134.817,-2.147,53.581130982063904,103.45187867544121,467.853
225,225,225,397508.0769939258,5938032.619215421,-365.391,133.37,-1.949,53.58111779122481,103.45186453486845,468.051
226,226,226,397506.1049939258,5938032.551215421,-367.363,133.302,-1.946,53.58111679486618,103.451834782184,468.054
227,227,227,397505.5859939258,5938032.651215421,-367.882,133.402,-3.431,53.58111759197049,103.45182691302111,466.569
228,228,228,397505.5329939258,5938029.360215421,-367.935,130.111,-1.851,53.581088011105585,103.45182719348861,468.149
229,229,229,397505.2669939258,5938029.486215421,-368.201,130.237,-2.589,53.58108909126751,103.45182313580993,467.411
230,230,230,397503.9719939258,5938026.227215421,-369.496,126.978,-1.715,53.58105955521874,103.45180465297369,468.285
231,231,231,397503.6469939258,5938026.304215421,-369.821,127.055,-2.256,53.58106018357201,103.45179972055483,467.744
232,232,232,397501.3499939258,5938025.800215421,-372.118,126.551,-1.698,53.581055206108445,103.45176520396028,468.302
233,233,233,397501.46999392577,5938026.190215421,-371.998,126.941,-2.385,53.58105873381298,103.45176688775041,467.615
234,234,234,397499.0529939258,5938027.309215421,-374.415,128.06,-1.716,53.581068315973084,103.45173002629879,468.284
235,235,235,397499.4349939258,5938027.556215421,-374.033,128.307,-2.388,53.581070609988046,103.45173571295312,467.612
236,236,236,397499.6069939258,5938031.005215421,-373.861,131.756,-1.882,53.58110163378043,103.45173717730185,468.118
237,237,237,397500.4909939258,5938030.729215422,-372.977,131.48,-2.825,53.58109932660695,103.45175061535461,467.175
238,238,238,397502.0719939258,5938030.828215421,-371.396,131.579,-3.846,53.58110052511838,103.45177445418018,466.154
239,239,239,397499.7519939258,5938032.744215421,-373.716,133.495,-1.863,53.58111728749327,103.45173879554957,468.137
240,240,240,397498.6089939258,5938035.785215422,-374.859,136.536,-1.979,53.58114438830532,103.45172053883542,468.021
241,241,241,397495.5229939258,5938036.352215421,-377.945,137.103,-1.93,53.58114887983653,103.45167375741799,468.07
242,242,242,397488.6529939258,5938037.769215421,-384.815,138.52,-1.895,53.58116026924886,103.4515695625714,468.105
243,243,243,397482.6089939258,5938037.815215421,-390.859,138.566,-1.933,53.58115950122685,103.45147828968437,468.067
244,244,244,397476.1339939258,5938038.416215422,-397.334,139.167,-1.933,53.581163635706545,103.45138032686931,468.067
245,245,245,397472.3259939258,5938037.6712154215,-401.142,138.422,-1.873,53.58115619730125,103.45132307496678,468.127
246,246,246,397465.81799392577,5938039.045215421,-407.65,139.796,-1.862,53.58116727081038,103.45122435994357,468.138
247,247,247,397459.8489939258,5938039.782215421,-413.619,140.533,-1.843,53.581172726004034,103.45113399245602,468.157
248,248,248,397455.9419939258,5938038.707215421,-417.526,139.458,-1.751,53.58116230298876,103.45107535421468,468.249
